+----------------+--------------+-----------+-----------------------+--------------------------+----------------------------+
|     word1      |    word2     | SimLex999 |        COMPARE        | Similarity_Label_mymodel | Similarity_Label_SimLex999 |
+----------------+--------------+-----------+-----------------------+--------------------------+----------------------------+
|      old       |     new      |    1.58   |          -1.0         |       not similar        |        not similar         |
|     smart      | intelligent  |    9.2    |  -0.09000000357627869 |       not similar        |          similar           |
|      hard      |  difficult   |    8.77   |          1.0          |         similar          |          similar           |
|     happy      |   cheerful   |    9.55   |  -0.12999999523162842 |       not similar        |          similar           |
|      hard      |     easy     |    0.95   |          -1.0         |       not similar        |        not similar         |
|      fast      |    rapid     |    8.75   |  0.03999999910593033  |       not similar        |          similar           |
|     happy      |     glad     |    9.17   |          1.0          |         similar          |          similar           |
|     short      |     long     |    1.23   |          -1.0         |       not similar        |        not similar         |
|     stupid     |     dumb     |    9.58   |  0.07000000029802322  |       not similar        |          similar           |
|     weird      |   strange    |    8.93   |  0.03999999910593033  |       not similar        |          similar           |
|      wide      |    narrow    |    1.03   |          -1.0         |       not similar        |        not similar         |
|      bad       |    awful     |    8.42   |  0.10000000149011612  |       not similar        |          similar           |
|      easy      |  difficult   |    0.58   |          -1.0         |       not similar        |        not similar         |
|      bad       |   terrible   |    7.78   |  0.05000000074505806  |       not similar        |          similar           |
|      hard      |    simple    |    1.38   |  0.009999999776482582 |       not similar        |        not similar         |
|     smart      |     dumb     |    0.55   |  0.019999999552965164 |       not similar        |        not similar         |
|     insane     |    crazy     |    9.57   |  0.03999999910593033  |       not similar        |          similar           |
|     happy      |     mad      |    0.95   |  0.12999999523162842  |       not similar        |        not similar         |
|     large      |     huge     |    9.47   |  0.029999999329447746 |       not similar        |          similar           |
|      hard      |    tough     |    8.05   |          1.0          |         similar          |          similar           |
|      new       |    fresh     |    6.83   |          1.0          |         similar          |          similar           |
|     sharp      |     dull     |    0.6    |          -1.0         |       not similar        |        not similar         |
|     quick      |    rapid     |    9.7    | -0.019999999552965164 |       not similar        |          similar           |
|      dumb      |   foolish    |    6.67   |  0.18000000715255737  |       not similar        |          similar           |
|   wonderful    |   terrific   |    8.63   |          1.0          |         similar          |          similar           |
|    strange     |     odd      |    9.02   |  0.10000000149011612  |       not similar        |          similar           |
|     happy      |    angry     |    1.28   |  0.029999999329447746 |       not similar        |        not similar         |
|     narrow     |    broad     |    1.18   | -0.019999999552965164 |       not similar        |        not similar         |
|     simple     |     easy     |    9.4    |  -0.12999999523162842 |       not similar        |          similar           |
|      old       |    fresh     |    0.87   |  0.10000000149011612  |       not similar        |        not similar         |
|    apparent    |   obvious    |    8.47   |  0.09000000357627869  |       not similar        |          similar           |
|  inexpensive   |    cheap     |    8.72   |          1.0          |         similar          |          similar           |
|      nice      |   generous   |    5.0    |  -0.03999999910593033 |       not similar        |          similar           |
|     weird      |    normal    |    0.72   |  0.15000000596046448  |       not similar        |        not similar         |
|     weird      |     odd      |    9.2    |  0.07000000029802322  |       not similar        |          similar           |
|      bad       |   immoral    |    7.62   |        10000.0        |         similar          |          similar           |
|      sad       |    funny     |    0.95   |  0.15000000596046448  |       not similar        |        not similar         |
|   wonderful    |    great     |    8.05   |  -0.07000000029802322 |       not similar        |          similar           |
|     guilty     |   ashamed    |    6.38   |  0.009999999776482582 |       not similar        |          similar           |
|   beautiful    |  wonderful   |    6.5    |  0.09000000357627869  |       not similar        |          similar           |
|   confident    |     sure     |    8.27   |  0.05000000074505806  |       not similar        |          similar           |
|      dumb      |    dense     |    7.27   |          1.0          |         similar          |          similar           |
|     large      |     big      |    9.55   |          1.0          |         similar          |          similar           |
|      nice      |    cruel     |    0.67   |  -0.05000000074505806 |       not similar        |        not similar         |
|   impatient    |   anxious    |    6.03   | -0.009999999776482582 |       not similar        |          similar           |
|      big       |    broad     |    6.73   |  -0.11999999731779099 |       not similar        |          similar           |
|     strong     |    proud     |    3.17   | -0.029999999329447746 |       not similar        |        not similar         |
|  unnecessary   |  necessary   |    0.63   |          -1.0         |       not similar        |        not similar         |
|    restless    |    young     |    1.6    |  -0.07000000029802322 |       not similar        |        not similar         |
|      dumb      | intelligent  |    0.75   |  0.029999999329447746 |       not similar        |        not similar         |
|      bad       |    great     |    0.35   |  -0.10999999940395355 |       not similar        |        not similar         |
|   difficult    |    simple    |    0.87   |  -0.05000000074505806 |       not similar        |        not similar         |
|   necessary    |  important   |    7.37   |  -0.07999999821186066 |       not similar        |          similar           |
|      bad       |   terrific   |    0.65   |        10000.0        |         similar          |        not similar         |
|      mad       |     glad     |    1.45   |  -0.2800000011920929  |       not similar        |        not similar         |
|     honest     |    guilty    |    1.18   |          0.0          |       not similar        |        not similar         |
|      easy      |    tough     |    0.52   |  0.019999999552965164 |       not similar        |        not similar         |
|      easy      |   flexible   |    4.1    |  -0.05000000074505806 |       not similar        |        not similar         |
|    certain     |     sure     |    8.42   |          1.0          |         similar          |          similar           |
|   essential    |  necessary   |    8.97   |          1.0          |         similar          |          similar           |
|   different    |    normal    |    1.08   | -0.029999999329447746 |       not similar        |        not similar         |
|      sly       |    clever    |    7.25   |        10000.0        |         similar          |          similar           |
|    crucial     |  important   |    8.82   |          1.0          |         similar          |          similar           |
|     harsh      |    cruel     |    8.18   |   0.1899999976158142  |       not similar        |          similar           |
|    childish    |   foolish    |    5.5    |  -0.03999999910593033 |       not similar        |          similar           |
|     scarce     |     rare     |    9.17   |        10000.0        |         similar          |          similar           |
|    friendly    |   generous   |    5.9    |  0.029999999329447746 |       not similar        |          similar           |
|    fragile     |    frigid    |    2.38   |        10000.0        |         similar          |        not similar         |
|      long      |    narrow    |    3.57   | -0.029999999329447746 |       not similar        |        not similar         |
|      big       |    heavy     |    6.18   |          1.0          |         similar          |          similar           |
|     rough      |    frigid    |    2.47   |        10000.0        |         similar          |        not similar         |
