+----------------+--------------+-----------+---------------------+--------------------------+----------------------------+
|     word1      |    word2     | SimLex999 |       COMPARE       | Similarity_Label_mymodel | Similarity_Label_SimLex999 |
+----------------+--------------+-----------+---------------------+--------------------------+----------------------------+
|      old       |     new      |    1.58   |         -1.0        |       not similar        |        not similar         |
|     smart      | intelligent  |    9.2    |  0.7699999809265137 |         similar          |          similar           |
|      hard      |  difficult   |    8.77   |         1.0         |         similar          |          similar           |
|     happy      |   cheerful   |    9.55   |  0.6800000071525574 |         similar          |          similar           |
|      hard      |     easy     |    0.95   |         -1.0        |       not similar        |        not similar         |
|      fast      |    rapid     |    8.75   |  0.7300000190734863 |         similar          |          similar           |
|     happy      |     glad     |    9.17   |         1.0         |         similar          |          similar           |
|     short      |     long     |    1.23   |         -1.0        |       not similar        |        not similar         |
|     stupid     |     dumb     |    9.58   |  0.8700000047683716 |         similar          |          similar           |
|     weird      |   strange    |    8.93   |  0.8700000047683716 |         similar          |          similar           |
|      wide      |    narrow    |    1.03   |         -1.0        |       not similar        |        not similar         |
|      bad       |    awful     |    8.42   |         0.75        |         similar          |          similar           |
|      easy      |  difficult   |    0.58   |         -1.0        |       not similar        |        not similar         |
|      bad       |   terrible   |    7.78   |  0.7699999809265137 |         similar          |          similar           |
|      hard      |    simple    |    1.38   |  0.5400000214576721 |         similar          |        not similar         |
|     smart      |     dumb     |    0.55   |  0.7300000190734863 |         similar          |        not similar         |
|     insane     |    crazy     |    9.57   |  0.8299999833106995 |         similar          |          similar           |
|     happy      |     mad      |    0.95   |  0.5400000214576721 |         similar          |        not similar         |
|     large      |     huge     |    9.47   |  0.8299999833106995 |         similar          |          similar           |
|      hard      |    tough     |    8.05   |         1.0         |         similar          |          similar           |
|      new       |    fresh     |    6.83   |         1.0         |         similar          |          similar           |
|     sharp      |     dull     |    0.6    |         -1.0        |       not similar        |        not similar         |
|     quick      |    rapid     |    9.7    |  0.7300000190734863 |         similar          |          similar           |
|      dumb      |   foolish    |    6.67   |  0.7200000286102295 |         similar          |          similar           |
|   wonderful    |   terrific   |    8.63   |         1.0         |         similar          |          similar           |
|    strange     |     odd      |    9.02   |  0.8199999928474426 |         similar          |          similar           |
|     happy      |    angry     |    1.28   |  0.5699999928474426 |         similar          |        not similar         |
|     narrow     |    broad     |    1.18   |  0.7900000214576721 |         similar          |        not similar         |
|     simple     |     easy     |    9.4    |  0.7400000095367432 |         similar          |          similar           |
|      old       |    fresh     |    0.87   |  0.5600000023841858 |         similar          |        not similar         |
|    apparent    |   obvious    |    8.47   |  0.8399999737739563 |         similar          |          similar           |
|  inexpensive   |    cheap     |    8.72   |         1.0         |         similar          |          similar           |
|      nice      |   generous   |    5.0    |  0.6000000238418579 |         similar          |          similar           |
|     weird      |    normal    |    0.72   |  0.5799999833106995 |         similar          |        not similar         |
|     weird      |     odd      |    9.2    |  0.8399999737739563 |         similar          |          similar           |
|      bad       |   immoral    |    7.62   |  0.5699999928474426 |         similar          |          similar           |
|      sad       |    funny     |    0.95   |  0.6899999976158142 |         similar          |        not similar         |
|   wonderful    |    great     |    8.05   |  0.800000011920929  |         similar          |          similar           |
|     guilty     |   ashamed    |    6.38   |  0.5400000214576721 |         similar          |          similar           |
|   beautiful    |  wonderful   |    6.5    |  0.800000011920929  |         similar          |          similar           |
|   confident    |     sure     |    8.27   |  0.6399999856948853 |         similar          |          similar           |
|      dumb      |    dense     |    7.27   |         1.0         |         similar          |          similar           |
|     large      |     big      |    9.55   |         1.0         |         similar          |          similar           |
|      nice      |    cruel     |    0.67   | 0.47999998927116394 |         similar          |        not similar         |
|   impatient    |   anxious    |    6.03   |  0.7200000286102295 |         similar          |          similar           |
|      big       |    broad     |    6.73   |  0.6000000238418579 |         similar          |          similar           |
|     strong     |    proud     |    3.17   |  0.5400000214576721 |         similar          |        not similar         |
|  unnecessary   |  necessary   |    0.63   |         -1.0        |       not similar        |        not similar         |
|    restless    |    young     |    1.6    |  0.550000011920929  |         similar          |        not similar         |
|      dumb      | intelligent  |    0.75   |  0.6100000143051147 |         similar          |        not similar         |
|      bad       |    great     |    0.35   |  0.6200000047683716 |         similar          |        not similar         |
|   difficult    |    simple    |    0.87   |  0.5799999833106995 |         similar          |        not similar         |
|   necessary    |  important   |    7.37   |  0.699999988079071  |         similar          |          similar           |
|      bad       |   terrific   |    0.65   |  0.6200000047683716 |         similar          |        not similar         |
|      mad       |     glad     |    1.45   | 0.47999998927116394 |         similar          |        not similar         |
|     honest     |    guilty    |    1.18   |  0.4699999988079071 |         similar          |        not similar         |
|      easy      |    tough     |    0.52   |  0.6600000262260437 |         similar          |        not similar         |
|      easy      |   flexible   |    4.1    |  0.5899999737739563 |         similar          |        not similar         |
|    certain     |     sure     |    8.42   |         1.0         |         similar          |          similar           |
|   essential    |  necessary   |    8.97   |         1.0         |         similar          |          similar           |
|   different    |    normal    |    1.08   |  0.5799999833106995 |         similar          |        not similar         |
|      sly       |    clever    |    7.25   |  0.7200000286102295 |         similar          |          similar           |
|    crucial     |  important   |    8.82   |         1.0         |         similar          |          similar           |
|     harsh      |    cruel     |    8.18   |  0.7599999904632568 |         similar          |          similar           |
|    childish    |   foolish    |    5.5    |  0.7300000190734863 |         similar          |          similar           |
|     scarce     |     rare     |    9.17   |  0.5899999737739563 |         similar          |          similar           |
|    friendly    |   generous   |    5.9    |  0.6399999856948853 |         similar          |          similar           |
|    fragile     |    frigid    |    2.38   | 0.41999998688697815 |         similar          |        not similar         |
|      long      |    narrow    |    3.57   |  0.5699999928474426 |         similar          |        not similar         |
|      big       |    heavy     |    6.18   |         1.0         |         similar          |          similar           |
|     rough      |    frigid    |    2.47   | 0.46000000834465027 |         similar          |        not similar         |
|    bizarre     |   strange    |    9.37   |  0.8299999833106995 |         similar          |          similar           |
