+--------------------------------+---------------------------------------------------------------+-------+------------+
|            phrase1             |                            phrase2                            | label | Similarity |
+--------------------------------+---------------------------------------------------------------+-------+------------+
|          air position          |                     posture while jumping                     |   0   |     0      |
|        associated track        |                    correlating music single                   |   0   |     0      |
|          whole parts           |                       extended sections                       |   1   |     0      |
|            wide set            |                      spacious collection                      |   0   |     1      |
|        full protection         |                        complete defense                       |   0   |     1      |
|           prior case           |                         preceding game                        |   0   |     1      |
|        another station         |                       a separate airport                      |   0   |     1      |
|        initial activity        |                         starting task                         |   1   |     1      |
|         single square          |                        solitary border                        |   1   |     1      |
|     independent operation      |                     individual enterprise                     |   0   |     1      |
|          long segment          |                        quite a stretch                        |   0   |     1      |
|          borg family           |                         Borg household                        |   0   |     1      |
|            one die             |                        a single counter                       |   0   |     1      |
|          material one          |                         physical world                        |   0   |     1      |
|       offensive element        |                        attack component                       |   0   |     1      |
|         fast movements         |                         quick motions                         |   1   |     1      |
|       unnecessary credit       |                   gratuitous acknowledgment                   |   1   |     1      |
|         group address          |                        overall location                       |   0   |     1      |
|       third incarnation        |                        third embodiment                       |   0   |     1      |
|         visual record          |                      perceivable history                      |   0   |     1      |
|           great dash           |                         awesome speed                         |   0   |     1      |
|          danger zone           |                          hazard range                         |   1   |     1      |
|         first address          |                        inaugural speech                       |   0   |     1      |
|          mobile frame          |              flexible abstract coordinate system              |   1   |     1      |
|      interchangeable part      |                      exchangeable segment                     |   1   |     1      |
|            new bit             |                         fresh segment                         |   1   |     1      |
|          other person          |                          anyone else                          |   0   |     1      |
|          sole action           |                      particular statement                     |   1   |     1      |
|        fledgling system        |                         novel approach                        |   0   |     1      |
|          battery fire          |                 combustion of its power supply                |   1   |     1      |
| particularly difficult subject |                   specifically complex topic                  |   1   |     1      |
|          primary face          |                         public figure                         |   1   |     1      |
|          later impact          |                        future influence                       |   0   |     1      |
|       media manipulation       |                      controlling the news                     |   1   |     1      |
|         second casting         |                        subsequent mold                        |   0   |     1      |
|        first suggestion        |                        starting advice                        |   0   |     1      |
|           loose end            |                      point of unsureness                      |   0   |     1      |
|          larger craft          |                         bigger vehicle                        |   1   |     1      |
|          whole scene           |                         full landscape                        |   1   |     1      |
|      another arrangement       |                       a different order                       |   1   |     1      |
|         chosen course          |                       preferred fairway                       |   1   |     1      |
|         middle ground          |                      point of compromise                      |   0   |     1      |
|         white writing          |                         ivory letters                         |   0   |     1      |
|            fair way            |                        decent distance                        |   0   |     1      |
|         major stature          |                     considerable standing                     |   1   |     1      |
|       least one cylinder       |           single or additional phonograph instrument          |   0   |     1      |
|       inferior division        |                         lesser section                        |   0   |     1      |
|         one individual         |                           one figure                          |   1   |     1      |
|          white light           |               quantitative phase imaging method               |   1   |     1      |
|         middle ground          |                          happy medium                         |   1   |     1      |
|          tough course          |                         difficult time                        |   1   |     1      |
|        basic background        |                         simple history                        |   1   |     1      |
|           color map            |                         painted chart                         |   1   |     1      |
|       following picture        |                           next image                          |   0   |     1      |
|           ideal size           |                          prime amount                         |   0   |     1      |
|           whose word           |                         their meaning                         |   0   |     1      |
|         major degrees          |                     considerable severity                     |   1   |     1      |
|        robust selection        |                        powerful choice                        |   0   |     1      |
|         permit process         |                     allowed court document                    |   0   |     1      |
|         human response         |                  the impact by the population                 |   1   |     1      |
|          star figure           |                         renown leader                         |   1   |     1      |
|       organic structure        |                      natural composition                      |   1   |     1      |
|         conduct rules          |                      behavior regulations                     |   1   |     1      |
|          local terms           |                          simple words                         |   0   |     1      |
|          ancient use           |                      classical Latin rite                     |   1   |     1      |
|        exposure limits         |                  financial risk restrictions                  |   1   |     1      |
|          local peaks           |                        nearby mountains                       |   0   |     1      |
|        high evaluation         |                        tall estimation                        |   0   |     1      |
|      little relationship       |                       minimal connection                      |   1   |     1      |
|           true mark            |                           real sign                           |   1   |     1      |
|         separate seat          |                        different chair                        |   0   |     1      |
|       integrated access        |                    computer premises device                   |   0   |     1      |
|          click models          |                       a fashion company                       |   0   |     1      |
|          little news           |                        some disclosures                       |   1   |     1      |
|           key tracks           |                        major railroads                        |   0   |     1      |
|         little return          |                         meager rebound                        |   0   |     1      |
|      commercial material       |                      Marketable substance                     |   0   |     1      |
|           real meat            |                       useful discussions                      |   1   |     1      |
|         survey methods         |                       polling procedures                      |   0   |     1      |
|         contact centre         |       meeting place for nonresident parents and children      |   0   |     1      |
|       largest difference       |                        biggest contrast                       |   1   |     1      |
|           dull game            |                        tedious pastime                        |   0   |     1      |
|     well-organized system      |                     structured arrangement                    |   0   |     1      |
|          safe ground           |               inoffensive conversation landscape              |   0   |     1      |
|          second duty           |                   additional responsibility                   |   1   |     1      |
|        subordinate role        |                         secondary part                        |   0   |     1      |
|         driving school         |                        "Driving School"                       |   0   |     1      |
|      excessive roughness       |                      exorbitant bumpiness                     |   0   |     1      |
|       relevant authority       |                     applicable leadership                     |   0   |     1      |
|       early interception       |                      advanced prevention                      |   1   |     1      |
|          quiet design          |                        plain blueprint                        |   1   |     1      |
|           1st cycle            |                          first round                          |   0   |     1      |
|      transitional season       |                     turning-point interval                    |   1   |     1      |
|           last hours           |                           Last Hours                          |   1   |     1      |
|       direct derivative        |                       straight outgrowth                      |   0   |     1      |
|       significant thrust       |                         a lot of power                        |   1   |     1      |
|          first score           |                        beginning point                        |   0   |     1      |
|          small corner          |                           minor area                          |   0   |     1      |
|         common support         |                          regular tool                         |   1   |     1      |
|        complete answer         |                        entire response                        |   0   |     1      |
|          active hand           |                          moving hand                          |   1   |     1      |
|          common site           |                        normal position                        |   1   |     1      |
|        control programs        |                     moderation regulation                     |   0   |     1      |
|         primary object         |                         main disagree                         |   0   |     1      |
|        major structure         |                      significant building                     |   0   |     1      |
|         general course         |                          general path                         |   1   |     1      |
|          later impact          |                        future influence                       |   1   |     1      |
|          rock origins          |                         musical roots                         |   1   |     1      |
|       following division       |                      forthcoming equation                     |   0   |     1      |
|         fine material          |                       very small pieces                       |   0   |     1      |
